月份,频道,行业大类,时长(分),投放占比
,山西卫视,房地产/建筑工程行业,1,0.002
,山西卫视,家居,1,0.0017
,山西卫视,家用电器,1,0.0012
,山西卫视,清洁用品,1,0.0012
7,山西卫视,药品,108,0.2712
,山西卫视,饮料,69,0.1731
,山西卫视,商业/服务性行业,67,0.1674
,山西卫视,食品,57,0.1433
,山西卫视,酒类,55,0.137
,山西卫视,娱乐及休闲,24,0.0589
,山西卫视,互联网,13,0.0334
,山西卫视,交通,8,0.0194
,山西卫视,金融/投资行业,4,0.0106
,山西卫视,化妆品/浴室用品,4,0.0099
,山西卫视,工业,3,0.0067
,山西卫视,个人用品,3,0.0067
,山西卫视,数码/电脑/办公用品,1,0.0015
,山西卫视,衣着,1,0.0015
,山西卫视,房地产/建筑工程行业,0,0.0008
8,山西卫视,商业/服务性行业,139,0.348
,山西卫视,药品,88,0.2195
,山西卫视,食品,79,0.1967
,山西卫视,酒类,56,0.139
,山西卫视,互联网,27,0.0683
,山西卫视,饮料,26,0.0658
,山西卫视,娱乐及休闲,19,0.0483
,山西卫视,交通,8,0.0195
,山西卫视,金融/投资行业,4,0.0106
,山西卫视,化妆品/浴室用品,4,0.0099
,山西卫视,工业,3,0.0063
,山西卫视,个人用品,2,0.0061
,山西卫视,家居,1,0.0015
,山西卫视,家用电器,1,0.0013
9,山西卫视,食品,166,0.4138
,山西卫视,酒类,96,0.2395
,山西卫视,药品,81,0.2036
,山西卫视,商业/服务性行业,60,0.1512
,山西卫视,互联网,14,0.0355
,山西卫视,娱乐及休闲,11,0.0284
,山西卫视,饮料,11,0.0269
,山西卫视,交通,7,0.0181
,山西卫视,农业,5,0.0117
,山西卫视,金融/投资行业,4,0.0106
,山西卫视,个人用品,3,0.0081
,山西卫视,工业,3,0.0077
,山西卫视,房地产/建筑工程行业,3,0.0066
,山西卫视,化妆品/浴室用品,2,0.006
,山西卫视,清洁用品,1,0.0014
,山西卫视,家用电器,0,0.0002
10,山西卫视,食品,164,0.328
,山西卫视,药品,123,0.2451
,山西卫视,娱乐及休闲,73,0.145
,山西卫视,酒类,70,0.139
,山西卫视,商业/服务性行业,62,0.1236
,山西卫视,交通,8,0.0155
,山西卫视,金融/投资行业,5,0.0095
,山西卫视,农业,5,0.0092
,山西卫视,互联网,3,0.0067
,山西卫视,工业,3,0.0054
,山西卫视,饮料,2,0.005
,山西卫视,个人用品,2,0.0048
,山西卫视,化妆品/浴室用品,1,0.0024
,山西卫视,家用电器,1,0.0012
,山西卫视,衣着,1,0.0012
,山西卫视,家居,0,0.0007
11,山西卫视,食品,206,0.4113
,山西卫视,药品,140,0.28
,山西卫视,商业/服务性行业,60,0.1208
,山西卫视,酒类,53,0.1053
,山西卫视,互联网,43,0.0866
,山西卫视,娱乐及休闲,21,0.0426
,山西卫视,交通,7,0.015
,山西卫视,饮料,7,0.0142
,山西卫视,农业,5,0.0107
,山西卫视,金融/投资行业,4,0.0083
,山西卫视,工业,3,0.0052
,山西卫视,化妆品/浴室用品,1,0.0016
,山西卫视,个人用品,1,0.0012
,山西卫视,家用电器,1,0.0012
,山西卫视,家居,0,0.0005
6,广西卫视,药品,534,0.356
,广西卫视,饮料,255,0.17
,广西卫视,商业/服务性行业,232,0.1546
,广西卫视,食品,106,0.0707
,广西卫视,农业,81,0.0537
,广西卫视,娱乐及休闲,77,0.051
,广西卫视,工业,72,0.0477
,广西卫视,互联网,55,0.0368
,广西卫视,酒类,47,0.0312
,广西卫视,金融/投资行业,37,0.0249
,广西卫视,房地产/建筑工程行业,11,0.0072
,广西卫视,化妆品/浴室用品,6,0.0043
,广西卫视,清洁用品,2,0.0016
,广西卫视,家居,0,0.0001
7,广西卫视,药品,550,0.3055
,广西卫视,饮料,543,0.3018
,广西卫视,商业/服务性行业,297,0.1652
,广西卫视,娱乐及休闲,129,0.0718
,广西卫视,农业,86,0.048
,广西卫视,工业,70,0.0391
,广西卫视,酒类,61,0.0341
,广西卫视,互联网,39,0.0215
,广西卫视,金融/投资行业,32,0.0179
,广西卫视,食品,26,0.0146
,广西卫视,房地产/建筑工程行业,11,0.0062
,广西卫视,化妆品/浴室用品,3,0.0019
,广西卫视,个人用品,2,0.001
,广西卫视,数码/电脑/办公用品,1,0.0004
,广西卫视,交通,0,0.0002
8,广西卫视,药品,551,0.3442
,广西卫视,饮料,508,0.3172
,广西卫视,商业/服务性行业,123,0.0769
,广西卫视,农业,107,0.0668
,广西卫视,酒类,74,0.0464
,广西卫视,工业,73,0.0458
,广西卫视,食品,65,0.0405
,广西卫视,娱乐及休闲,61,0.0379
,广西卫视,金融/投资行业,34,0.0214
,广西卫视,互联网,14,0.0087
,广西卫视,房地产/建筑工程行业,12,0.0075
,广西卫视,个人用品,3,0.0019
,广西卫视,化妆品/浴室用品,2,0.0013
,广西卫视,家用电器,1,0.0004
,广西卫视,衣着,1,0.0004
,广西卫视,交通,0,0.0002
9,广西卫视,饮料,419,0.4653
,广西卫视,商业/服务性行业,206,0.2291
,广西卫视,酒类,69,0.0765
,广西卫视,农业,64,0.0706
,广西卫视,药品,47,0.0527
,广西卫视,工业,31,0.0339
,广西卫视,娱乐及休闲,25,0.0278
,广西卫视,食品,25,0.0274
,广西卫视,金融/投资行业,11,0.0124
,广西卫视,家用电器,5,0.0056
,广西卫视,数码/电脑/办公用品,2,0.0023
,广西卫视,房地产/建筑工程行业,1,0.0015
,广西卫视,个人用品,1,0.0013
,广西卫视,化妆品/浴室用品,1,0.0008
,广西卫视,交通,1,0.0008
,广西卫视,家居,1,0.0007
10,广西卫视,饮料,416,0.4626
,广西卫视,酒类,100,0.1115
,广西卫视,商业/服务性行业,86,0.0959
,广西卫视,药品,78,0.0871
,广西卫视,农业,78,0.0861
,广西卫视,金融/投资行业,52,0.0579
,广西卫视,娱乐及休闲,45,0.0504
,广西卫视,邮电通讯,24,0.0261
,广西卫视,互联网,19,0.0206
,广西卫视,工业,11,0.0127
,广西卫视,家用电器,6,0.0061
,广西卫视,食品,3,0.0031
,广西卫视,化妆品/浴室用品,0,0.0004
11,广西卫视,饮料,251,0.4178
,广西卫视,农业,88,0.1472
,广西卫视,商业/服务性行业,88,0.1468
,广西卫视,药品,88,0.146
,广西卫视,酒类,50,0.084
,广西卫视,娱乐及休闲,34,0.0559
,广西卫视,金融/投资行业,22,0.0372
,广西卫视,食品,17,0.0275
,广西卫视,工业,11,0.0184
,广西卫视,化妆品/浴室用品,2,0.0027
,广西卫视,家用电器,2,0.0027
,广西卫视,家居,1,0.0022
6,吉林卫视,药品,595,0.4248
,吉林卫视,饮料,329,0.2352
,吉林卫视,食品,171,0.122
,吉林卫视,商业/服务性行业,157,0.1119
,吉林卫视,交通,101,0.0725
,吉林卫视,娱乐及休闲,99,0.0704
,吉林卫视,金融/投资行业,9,0.0062
,吉林卫视,房地产/建筑工程行业,4,0.0026
,吉林卫视,家居,3,0.0022
,吉林卫视,邮电通讯,3,0.0018
,吉林卫视,化妆品/浴室用品,2,0.0013
,吉林卫视,个人用品,1,0.0004
7,吉林卫视,药品,564,0.4026
,吉林卫视,饮料,398,0.284
,吉林卫视,商业/服务性行业,164,0.1173
,吉林卫视,娱乐及休闲,132,0.0943
,吉林卫视,食品,99,0.0706
,吉林卫视,交通,82,0.0587
,吉林卫视,金融/投资行业,8,0.0061
,吉林卫视,邮电通讯,5,0.0038
,吉林卫视,房地产/建筑工程行业,5,0.0037
,吉林卫视,化妆品/浴室用品,1,0.0004
,吉林卫视,互联网,1,0.0004
,吉林卫视,酒类,1,0.0004
8,吉林卫视,药品,587,0.4196
,吉林卫视,饮料,323,0.2306
,吉林卫视,商业/服务性行业,258,0.1844
,吉林卫视,娱乐及休闲,134,0.0959
,吉林卫视,食品,101,0.0722
,吉林卫视,交通,72,0.0515
,吉林卫视,互联网,7,0.0047
,吉林卫视,邮电通讯,3,0.0024
,吉林卫视,房地产/建筑工程行业,3,0.002
,吉林卫视,化妆品/浴室用品,3,0.002
,吉林卫视,个人用品,1,0.0004
9,吉林卫视,饮料,525,0.4774
,吉林卫视,商业/服务性行业,213,0.1936
,吉林卫视,食品,120,0.1094
,吉林卫视,娱乐及休闲,86,0.0781
,吉林卫视,药品,86,0.0781
,吉林卫视,交通,70,0.0634
,吉林卫视,房地产/建筑工程行业,68,0.0618
,吉林卫视,化妆品/浴室用品,3,0.0023
10,吉林卫视,饮料,805,0.6707
,吉林卫视,商业/服务性行业,128,0.1063
,吉林卫视,药品,127,0.1062
,吉林卫视,食品,77,0.0639
,吉林卫视,交通,72,0.0602
,吉林卫视,娱乐及休闲,47,0.0395
,吉林卫视,衣着,9,0.0073
,吉林卫视,房地产/建筑工程行业,3,0.0024
,吉林卫视,化妆品/浴室用品,2,0.0015
,吉林卫视,家用电器,1,0.0005
11,吉林卫视,饮料,493,0.4486
,吉林卫视,食品,162,0.1473
,吉林卫视,商业/服务性行业,135,0.1227
,吉林卫视,药品,119,0.1081
,吉林卫视,娱乐及休闲,88,0.0799
,吉林卫视,交通,70,0.0635
,吉林卫视,互联网,15,0.0136
,吉林卫视,金融/投资行业,7,0.0068
,吉林卫视,房地产/建筑工程行业,6,0.0056
,吉林卫视,化妆品/浴室用品,4,0.0036
,吉林卫视,数码/电脑/办公用品,1,0.0012
,吉林卫视,家居,1,0.0005
,吉林卫视,农业,1,0.0005
,吉林卫视,酒类,1,0.0005
6,青海卫视,药品,541,0.5407
,青海卫视,商业/服务性行业,176,0.1762
,青海卫视,娱乐及休闲,161,0.161
,青海卫视,酒类,91,0.0914
,青海卫视,衣着,70,0.0705
,青海卫视,互联网,16,0.0163
,青海卫视,食品,14,0.0143
,青海卫视,化妆品/浴室用品,8,0.0083
,青海卫视,金融/投资行业,5,0.0054
,青海卫视,交通,5,0.0049
,青海卫视,个人用品,4,0.0041
,青海卫视,饮料,2,0.0023
,青海卫视,家居,1,0.0006
,青海卫视,家用电器,1,0.0006
,青海卫视,房地产/建筑工程行业,1,0.0006
7,青海卫视,药品,556,0.4273
,青海卫视,娱乐及休闲,241,0.1855
,青海卫视,商业/服务性行业,184,0.1416
,青海卫视,酒类,172,0.1323
,青海卫视,衣着,73,0.056
,青海卫视,房地产/建筑工程行业,24,0.0187
,青海卫视,食品,16,0.012
,青海卫视,饮料,14,0.0107
,青海卫视,化妆品/浴室用品,10,0.0078
,青海卫视,金融/投资行业,7,0.0056
,青海卫视,交通,5,0.0039
,青海卫视,个人用品,5,0.0036
,青海卫视,家居,1,0.0004
,青海卫视,工业,1,0.0004
,青海卫视,互联网,1,0.0004
8,青海卫视,药品,545,0.4955
,青海卫视,娱乐及休闲,211,0.1921
,青海卫视,商业/服务性行业,189,0.1715
,青海卫视,酒类,97,0.088
,青海卫视,衣着,77,0.0696
,青海卫视,食品,16,0.0143
,青海卫视,化妆品/浴室用品,9,0.0083
,青海卫视,个人用品,8,0.0073
,青海卫视,金融/投资行业,5,0.0047
,青海卫视,交通,5,0.0045
,青海卫视,互联网,4,0.0037
,青海卫视,饮料,3,0.0031
,青海卫视,家居,1,0.0011
9,青海卫视,商业/服务性行业,169,0.4226
,青海卫视,娱乐及休闲,107,0.2671
,青海卫视,酒类,69,0.1735
,青海卫视,衣着,35,0.0881
,青海卫视,个人用品,29,0.0733
,青海卫视,食品,14,0.0353
,青海卫视,化妆品/浴室用品,11,0.0273
,青海卫视,金融/投资行业,5,0.0125
,青海卫视,交通,4,0.01
,青海卫视,饮料,2,0.0057
,青海卫视,互联网,1,0.0031
,青海卫视,家居,1,0.0029
10,青海卫视,酒类,171,0.3429
,青海卫视,商业/服务性行业,165,0.3305
,青海卫视,娱乐及休闲,97,0.1944
,青海卫视,衣着,56,0.1127
,青海卫视,药品,34,0.0677
,青海卫视,食品,14,0.0283
,青海卫视,房地产/建筑工程行业,7,0.0148
,青海卫视,化妆品/浴室用品,7,0.0136
,青海卫视,金融/投资行业,5,0.01
,青海卫视,交通,5,0.0094
,青海卫视,互联网,4,0.0075
,青海卫视,家用电器,3,0.005
,青海卫视,个人用品,2,0.0046
,青海卫视,数码/电脑/办公用品,2,0.004
,青海卫视,饮料,2,0.0034
,青海卫视,清洁用品,0,0.0005
,青海卫视,邮电通讯,0,0.0005
11,青海卫视,酒类,172,0.2866
,青海卫视,商业/服务性行业,136,0.2263
,青海卫视,娱乐及休闲,108,0.18
,青海卫视,药品,94,0.1567
,青海卫视,衣着,47,0.0775
,青海卫视,金融/投资行业,13,0.0216
,青海卫视,化妆品/浴室用品,11,0.0183
,青海卫视,房地产/建筑工程行业,7,0.0124
,青海卫视,互联网,7,0.0116
,青海卫视,交通,3,0.0058
,青海卫视,食品,2,0.004
,青海卫视,饮料,2,0.0026
,青海卫视,农业,1,0.001
,青海卫视,家居,1,0.001
,青海卫视,个人用品,1,0.001
,青海卫视,家用电器,0,0.0007
6,陕西卫视,药品,557,0.6194
,陕西卫视,化妆品/浴室用品,168,0.1871
,陕西卫视,酒类,75,0.0839
,陕西卫视,商业/服务性行业,62,0.0686
,陕西卫视,娱乐及休闲,48,0.053
,陕西卫视,食品,43,0.0474
,陕西卫视,房地产/建筑工程行业,15,0.0167
,陕西卫视,交通,3,0.0033
,陕西卫视,互联网,2,0.0023
,陕西卫视,金融/投资行业,1,0.0014
,陕西卫视,家居,1,0.0013
,陕西卫视,清洁用品,1,0.0007
,陕西卫视,衣着,1,0.0006
,陕西卫视,饮料,1,0.0006
,陕西卫视,家用电器,1,0.0006
7,陕西卫视,药品,498,0.4529
,陕西卫视,商业/服务性行业,325,0.2954
,陕西卫视,化妆品/浴室用品,143,0.1299
,陕西卫视,饮料,64,0.0584
,陕西卫视,酒类,62,0.0564
,陕西卫视,食品,54,0.0493
,陕西卫视,个人用品,23,0.0207
,陕西卫视,房地产/建筑工程行业,16,0.0147
,陕西卫视,金融/投资行业,8,0.007
,陕西卫视,互联网,2,0.0021
,陕西卫视,数码/电脑/办公用品,1,0.0005
,陕西卫视,娱乐及休闲,1,0.0005
8,陕西卫视,药品,498,0.3115
,陕西卫视,商业/服务性行业,320,0.1999
,陕西卫视,饮料,295,0.1846
,陕西卫视,化妆品/浴室用品,228,0.1423
,陕西卫视,食品,197,0.1232
,陕西卫视,酒类,104,0.0647
,陕西卫视,娱乐及休闲,25,0.0156
,陕西卫视,房地产/建筑工程行业,17,0.0104
,陕西卫视,金融/投资行业,6,0.0037
,陕西卫视,互联网,4,0.0024
,陕西卫视,交通,1,0.0006
,陕西卫视,个人用品,1,0.0004
,陕西卫视,清洁用品,1,0.0004
9,陕西卫视,饮料,242,0.2014
,陕西卫视,化妆品/浴室用品,229,0.1909
,陕西卫视,药品,225,0.1877
,陕西卫视,酒类,209,0.1742
,陕西卫视,食品,199,0.1661
,陕西卫视,商业/服务性行业,122,0.1019
,陕西卫视,娱乐及休闲,27,0.0227
,陕西卫视,房地产/建筑工程行业,21,0.0173
,陕西卫视,互联网,5,0.0038
,陕西卫视,交通,1,0.0008
,陕西卫视,个人用品,1,0.0005
10,陕西卫视,药品,411,0.3425
,陕西卫视,酒类,287,0.2388
,陕西卫视,食品,207,0.1727
,陕西卫视,商业/服务性行业,120,0.1
,陕西卫视,饮料,104,0.0864
,陕西卫视,化妆品/浴室用品,92,0.0763
,陕西卫视,娱乐及休闲,16,0.0136
,陕西卫视,房地产/建筑工程行业,15,0.0129
,陕西卫视,家用电器,1,0.0005
11,陕西卫视,药品,377,0.3427
,陕西卫视,酒类,295,0.268
,陕西卫视,食品,198,0.1804
,陕西卫视,商业/服务性行业,196,0.178
,陕西卫视,饮料,91,0.0831
,陕西卫视,房地产/建筑工程行业,15,0.0136
,陕西卫视,娱乐及休闲,12,0.0109
,陕西卫视,交通,1,0.0011
,陕西卫视,家居,1,0.0009
,陕西卫视,化妆品/浴室用品,1,0.0005
6,内蒙古卫视,娱乐及休闲,531,0.8847
,内蒙古卫视,药品,69,0.1157
,内蒙古卫视,酒类,33,0.0544
,内蒙古卫视,家居,14,0.0234
,内蒙古卫视,食品,6,0.0102
,内蒙古卫视,化妆品/浴室用品,5,0.0085
,内蒙古卫视,金融/投资行业,5,0.0083
,内蒙古卫视,饮料,3,0.0057
,内蒙古卫视,个人用品,2,0.0029
,内蒙古卫视,商业/服务性行业,1,0.0019
,内蒙古卫视,家用电器,1,0.0012
,内蒙古卫视,交通,0,0.0003
7,内蒙古卫视,娱乐及休闲,326,0.6521
,内蒙古卫视,药品,125,0.2499
,内蒙古卫视,酒类,34,0.0689
,内蒙古卫视,食品,8,0.0162
,内蒙古卫视,化妆品/浴室用品,7,0.0145
,内蒙古卫视,金融/投资行业,5,0.01
,内蒙古卫视,个人用品,2,0.0035
,内蒙古卫视,饮料,1,0.0021
,内蒙古卫视,交通,1,0.0012
,内蒙古卫视,家居,1,0.0012
,内蒙古卫视,农业,0,0.0008
8,内蒙古卫视,娱乐及休闲,268,0.5363
,内蒙古卫视,药品,113,0.2261
,内蒙古卫视,酒类,107,0.2147
,内蒙古卫视,商业/服务性行业,8,0.016
,内蒙古卫视,金融/投资行业,5,0.0096
,内蒙古卫视,化妆品/浴室用品,4,0.0085
,内蒙古卫视,个人用品,2,0.0047
,内蒙古卫视,饮料,2,0.0046
,内蒙古卫视,互联网,1,0.0012
,内蒙古卫视,家居,1,0.0012
,内蒙古卫视,食品,1,0.0012
,内蒙古卫视,家用电器,0,0.001
9,内蒙古卫视,娱乐及休闲,299,0.4986
,内蒙古卫视,房地产/建筑工程行业,108,0.1799
,内蒙古卫视,药品,106,0.176
,内蒙古卫视,酒类,100,0.1668
,内蒙古卫视,商业/服务性行业,51,0.0851
,内蒙古卫视,化妆品/浴室用品,6,0.0095
,内蒙古卫视,金融/投资行业,5,0.0078
,内蒙古卫视,饮料,4,0.0066
,内蒙古卫视,家用电器,2,0.0041
,内蒙古卫视,食品,2,0.0039
,内蒙古卫视,邮电通讯,1,0.001
,内蒙古卫视,个人用品,1,0.001
10,内蒙古卫视,房地产/建筑工程行业,432,0.6166
,内蒙古卫视,娱乐及休闲,252,0.3604
,内蒙古卫视,药品,72,0.1028
,内蒙古卫视,酒类,26,0.037
,内蒙古卫视,饮料,5,0.0075
,内蒙古卫视,金融/投资行业,5,0.0069
,内蒙古卫视,家用电器,3,0.0037
,内蒙古卫视,食品,1,0.0017
,内蒙古卫视,家居,1,0.0017
,内蒙古卫视,衣着,1,0.0017
,内蒙古卫视,化妆品/浴室用品,1,0.0017
,内蒙古卫视,个人用品,1,0.0008
11,内蒙古卫视,娱乐及休闲,311,0.7775
,内蒙古卫视,农业,29,0.073
,内蒙古卫视,酒类,25,0.0626
,内蒙古卫视,药品,20,0.0512
,内蒙古卫视,金融/投资行业,5,0.0136
,内蒙古卫视,化妆品/浴室用品,5,0.0126
,内蒙古卫视,饮料,3,0.008
,内蒙古卫视,家用电器,3,0.0072
,内蒙古卫视,食品,2,0.004
,内蒙古卫视,互联网,1,0.0029
,内蒙古卫视,个人用品,1,0.0029
,内蒙古卫视,家居,1,0.0027
6,宁夏卫视,药品,301,0.5017
,宁夏卫视,娱乐及休闲,178,0.2962
,宁夏卫视,商业/服务性行业,97,0.1617
,宁夏卫视,酒类,15,0.0249
,宁夏卫视,食品,14,0.0229
,宁夏卫视,化妆品/浴室用品,11,0.0188
,宁夏卫视,个人用品,6,0.01
,宁夏卫视,饮料,2,0.0029
,宁夏卫视,交通,1,0.0019
,宁夏卫视,互联网,1,0.0011
,宁夏卫视,房地产/建筑工程行业,1,0.001
,宁夏卫视,家用电器,1,0.001
,宁夏卫视,清洁用品,1,0.001
7,宁夏卫视,娱乐及休闲,245,0.8178
,宁夏卫视,商业/服务性行业,82,0.2728
,宁夏卫视,化妆品/浴室用品,18,0.0615
,宁夏卫视,酒类,16,0.0537
,宁夏卫视,食品,14,0.0461
,宁夏卫视,互联网,9,0.0298
,宁夏卫视,个人用品,5,0.0164
,宁夏卫视,数码/电脑/办公用品,1,0.0044
,宁夏卫视,饮料,1,0.0043
,宁夏卫视,家居,1,0.0039
,宁夏卫视,工业,1,0.0019
,宁夏卫视,交通,1,0.0019
,宁夏卫视,家用电器,1,0.0019
8,宁夏卫视,娱乐及休闲,280,0.6996
,宁夏卫视,商业/服务性行业,118,0.2959
,宁夏卫视,互联网,40,0.0988
,宁夏卫视,酒类,17,0.0434
,宁夏卫视,食品,14,0.0348
,宁夏卫视,化妆品/浴室用品,12,0.0305
,宁夏卫视,饮料,5,0.0135
,宁夏卫视,个人用品,3,0.0066
,宁夏卫视,交通,1,0.0029
,宁夏卫视,清洁用品,1,0.0016
,宁夏卫视,邮电通讯,1,0.0015
9,宁夏卫视,娱乐及休闲,308,0.7697
,宁夏卫视,商业/服务性行业,49,0.1227
,宁夏卫视,食品,19,0.0468
,宁夏卫视,酒类,15,0.0363
,宁夏卫视,化妆品/浴室用品,10,0.0244
,宁夏卫视,饮料,3,0.0085
,宁夏卫视,个人用品,3,0.0073
,宁夏卫视,家居,3,0.0069
,宁夏卫视,药品,1,0.0029
,宁夏卫视,互联网,1,0.0014
10,宁夏卫视,娱乐及休闲,215,1.0763
,宁夏卫视,商业/服务性行业,26,0.1284
,宁夏卫视,酒类,15,0.0775
,宁夏卫视,食品,11,0.0567
,宁夏卫视,化妆品/浴室用品,9,0.0439
,宁夏卫视,饮料,3,0.0145
,宁夏卫视,数码/电脑/办公用品,2,0.0117
,宁夏卫视,个人用品,2,0.0116
,宁夏卫视,互联网,1,0.0029
,宁夏卫视,家用电器,1,0.0029
,宁夏卫视,家居,1,0.0029
,宁夏卫视,衣着,1,0.0029
,宁夏卫视,农业,0,0.0024
11,宁夏卫视,娱乐及休闲,200,0.6678
,宁夏卫视,药品,71,0.2373
,宁夏卫视,食品,34,0.1121
,宁夏卫视,酒类,16,0.0519
,宁夏卫视,化妆品/浴室用品,13,0.0421
,宁夏卫视,农业,5,0.017
,宁夏卫视,互联网,2,0.0058
,宁夏卫视,商业/服务性行业,1,0.0047
,宁夏卫视,饮料,1,0.0047
,宁夏卫视,家用电器,1,0.0019
,宁夏卫视,衣着,1,0.0019
,宁夏卫视,家居,1,0.0019
,宁夏卫视,工业,1,0.0019
,宁夏卫视,个人用品,1,0.0019
6,新疆卫视,药品,67,0.6701
,新疆卫视,酒类,37,0.3728
,新疆卫视,娱乐及休闲,28,0.2782
,新疆卫视,饮料,9,0.0897
,新疆卫视,金融/投资行业,5,0.049
,新疆卫视,化妆品/浴室用品,2,0.0231
,新疆卫视,互联网,2,0.0163
,新疆卫视,食品,1,0.0058
,新疆卫视,个人用品,1,0.0058
,新疆卫视,房地产/建筑工程行业,1,0.0057
,新疆卫视,家用电器,1,0.0057
7,新疆卫视,药品,69,0.6912
,新疆卫视,娱乐及休闲,27,0.2739
,新疆卫视,酒类,24,0.2427
,新疆卫视,饮料,17,0.1663
,新疆卫视,化妆品/浴室用品,7,0.0687
,新疆卫视,金融/投资行业,6,0.0617
,新疆卫视,个人用品,2,0.0231
,新疆卫视,互联网,2,0.0193
,新疆卫视,食品,2,0.017
,新疆卫视,家用电器,2,0.0166
,新疆卫视,工业,1,0.0058
,新疆卫视,交通,1,0.0058
8,新疆卫视,药品,92,0.919
,新疆卫视,娱乐及休闲,35,0.3519
,新疆卫视,交通,9,0.0865
,新疆卫视,饮料,6,0.0649
,新疆卫视,化妆品/浴室用品,6,0.0626
,新疆卫视,金融/投资行业,5,0.0486
,新疆卫视,个人用品,2,0.0231
,新疆卫视,互联网,2,0.0186
,新疆卫视,食品,2,0.0173
,新疆卫视,酒类,2,0.0157
,新疆卫视,家用电器,1,0.0091
,新疆卫视,房地产/建筑工程行业,1,0.0054
9,新疆卫视,药品,82,0.8173
,新疆卫视,娱乐及休闲,26,0.2591
,新疆卫视,金融/投资行业,25,0.253
,新疆卫视,交通,14,0.1397
,新疆卫视,化妆品/浴室用品,7,0.0684
,新疆卫视,商业/服务性行业,2,0.0175
,新疆卫视,酒类,2,0.0169
,新疆卫视,个人用品,1,0.0117
,新疆卫视,互联网,1,0.0117
,新疆卫视,食品,1,0.0115
,新疆卫视,邮电通讯,1,0.0058
10,新疆卫视,药品,78,0.783
,新疆卫视,金融/投资行业,41,0.4101
,新疆卫视,娱乐及休闲,21,0.2111
,新疆卫视,交通,17,0.1732
,新疆卫视,化妆品/浴室用品,8,0.0769
,新疆卫视,家用电器,3,0.0267
,新疆卫视,食品,2,0.0233
,新疆卫视,数码/电脑/办公用品,2,0.0233
,新疆卫视,饮料,1,0.0115
,新疆卫视,酒类,1,0.0115
,新疆卫视,互联网,1,0.0112
,新疆卫视,个人用品,1,0.0058
,新疆卫视,家居,1,0.0051
11,新疆卫视,药品,58,0.5763
,新疆卫视,金融/投资行业,45,0.4546
,新疆卫视,娱乐及休闲,27,0.2715
,新疆卫视,家用电器,19,0.1854
,新疆卫视,交通,12,0.1232
,新疆卫视,化妆品/浴室用品,11,0.1074
,新疆卫视,互联网,2,0.0188
,新疆卫视,食品,1,0.0117
,新疆卫视,酒类,1,0.0112
,新疆卫视,数码/电脑/办公用品,1,0.0058
,新疆卫视,家居,0,0.0008
6,甘肃卫视,药品,572,0.4398
,甘肃卫视,商业/服务性行业,494,0.3798
,甘肃卫视,酒类,105,0.0808
,甘肃卫视,饮料,65,0.0503
,甘肃卫视,娱乐及休闲,63,0.0481
,甘肃卫视,化妆品/浴室用品,13,0.0097
,甘肃卫视,食品,7,0.0053
,甘肃卫视,个人用品,4,0.0031
,甘肃卫视,金融/投资行业,3,0.0027
,甘肃卫视,数码/电脑/办公用品,2,0.0014
,甘肃卫视,互联网,2,0.0013
,甘肃卫视,清洁用品,1,0.0004
,甘肃卫视,工业,0,0.0003
,甘肃卫视,衣着,0,0.0001
7,甘肃卫视,药品,577,0.4437
,甘肃卫视,商业/服务性行业,472,0.363
,甘肃卫视,酒类,108,0.0827
,甘肃卫视,饮料,71,0.0546
,甘肃卫视,娱乐及休闲,61,0.047
,甘肃卫视,食品,19,0.0146
,甘肃卫视,化妆品/浴室用品,8,0.0061
,甘肃卫视,个人用品,6,0.0048
,甘肃卫视,金融/投资行业,3,0.0026
,甘肃卫视,互联网,1,0.0011
,甘肃卫视,烟草类,1,0.0005
,甘肃卫视,家居,1,0.0004
,甘肃卫视,工业,0,0.0002
8,甘肃卫视,药品,587,0.4893
,甘肃卫视,商业/服务性行业,404,0.3368
,甘肃卫视,酒类,110,0.092
,甘肃卫视,饮料,81,0.0672
,甘肃卫视,娱乐及休闲,68,0.0567
,甘肃卫视,化妆品/浴室用品,14,0.0115
,甘肃卫视,食品,6,0.0053
,甘肃卫视,个人用品,4,0.0035
,甘肃卫视,金融/投资行业,3,0.0023
,甘肃卫视,家居,2,0.0019
,甘肃卫视,交通,2,0.0015
,甘肃卫视,互联网,2,0.0014
,甘肃卫视,邮电通讯,1,0.0005
,甘肃卫视,衣着,1,0.0005
9,甘肃卫视,商业/服务性行业,299,0.4265
,甘肃卫视,药品,202,0.2889
,甘肃卫视,酒类,105,0.1494
,甘肃卫视,饮料,74,0.1053
,甘肃卫视,娱乐及休闲,65,0.0926
,甘肃卫视,化妆品/浴室用品,12,0.0179
,甘肃卫视,个人用品,3,0.0045
,甘肃卫视,食品,3,0.0042
,甘肃卫视,金融/投资行业,2,0.0035
,甘肃卫视,工业,2,0.003
,甘肃卫视,家用电器,2,0.0022
,甘肃卫视,家居,1,0.0008
,甘肃卫视,互联网,1,0.0008
,甘肃卫视,农业,0,0.0006
10,甘肃卫视,药品,315,0.3932
,甘肃卫视,商业/服务性行业,241,0.3018
,甘肃卫视,酒类,110,0.1376
,甘肃卫视,娱乐及休闲,88,0.1095
,甘肃卫视,饮料,75,0.094
,甘肃卫视,家居,21,0.0262
,甘肃卫视,化妆品/浴室用品,13,0.0164
,甘肃卫视,工业,8,0.0097
,甘肃卫视,食品,6,0.008
